No,turn,file_name,position,x,y
0,1,data/person.png,0,391,88
1,1,data/person.png,1,392,150
2,1,data/person.png,2,341,144
3,1,data/person.png,3,266,150
4,1,data/person.png,4,206,115
5,1,data/person.png,5,443,153
6,1,data/person.png,6,493,221
7,1,data/person.png,7,454,287
8,1,data/person.png,8,350,307
9,1,data/person.png,9,338,425
10,1,data/person.png,10,387,493
11,1,data/person.png,11,412,308
12,1,data/person.png,12,407,416
13,1,data/person.png,13,389,529
14,1,data/person.png,14,380,75
15,1,data/person.png,15,403,77
16,1,data/person.png,16,365,82
17,1,data/person.png,17,423,82
18,2,data/person.png,1,582,232
19,2,data/person.png,2,582,223
20,2,data/person.png,3,540,250
21,2,data/person.png,4,569,256
22,2,data/person.png,16,582,214
0,1,data/test/person.png,0,391,88
1,1,data/test/person.png,1,392,150
2,1,data/test/person.png,2,341,144
3,1,data/test/person.png,3,266,150
4,1,data/test/person.png,4,206,115
5,1,data/test/person.png,5,443,153
6,1,data/test/person.png,6,493,221
7,1,data/test/person.png,7,454,287
8,1,data/test/person.png,8,350,307
9,1,data/test/person.png,9,338,425
10,1,data/test/person.png,10,387,493
11,1,data/test/person.png,11,412,308
12,1,data/test/person.png,12,407,416
13,1,data/test/person.png,13,389,529
14,1,data/test/person.png,14,380,75
15,1,data/test/person.png,15,403,77
16,1,data/test/person.png,16,365,82
17,1,data/test/person.png,17,423,82
18,2,data/test/person.png,1,582,232
19,2,data/test/person.png,2,582,223
20,2,data/test/person.png,3,540,250
21,2,data/test/person.png,4,569,256
22,2,data/test/person.png,16,582,214
