No,turn,file_name,position,x,y
0,1,outputdir/TuckBack_5_frame_00.png,0,877,672
1,1,outputdir/TuckBack_5_frame_00.png,1,900,692
2,1,outputdir/TuckBack_5_frame_00.png,2,910,688
3,1,outputdir/TuckBack_5_frame_00.png,3,873,682
4,1,outputdir/TuckBack_5_frame_00.png,4,837,662
5,1,outputdir/TuckBack_5_frame_00.png,5,900,692
6,1,outputdir/TuckBack_5_frame_00.png,6,870,675
7,1,outputdir/TuckBack_5_frame_00.png,7,843,668
8,1,outputdir/TuckBack_5_frame_00.png,8,920,763
9,1,outputdir/TuckBack_5_frame_00.png,9,893,810
10,1,outputdir/TuckBack_5_frame_00.png,10,893,867
11,1,outputdir/TuckBack_5_frame_00.png,11,907,763
12,1,outputdir/TuckBack_5_frame_00.png,12,887,810
13,1,outputdir/TuckBack_5_frame_00.png,13,890,878
14,1,outputdir/TuckBack_5_frame_00.png,15,877,668
15,1,outputdir/TuckBack_5_frame_00.png,17,893,672
0,1,outputdir/TuckBack_5_frame_01.png,0,880,716
1,1,outputdir/TuckBack_5_frame_01.png,1,900,732
2,1,outputdir/TuckBack_5_frame_01.png,2,903,732
3,1,outputdir/TuckBack_5_frame_01.png,3,880,716
4,1,outputdir/TuckBack_5_frame_01.png,4,850,685
5,1,outputdir/TuckBack_5_frame_01.png,5,897,732
6,1,outputdir/TuckBack_5_frame_01.png,6,873,712
7,1,outputdir/TuckBack_5_frame_01.png,7,853,692
8,1,outputdir/TuckBack_5_frame_01.png,8,903,800
9,1,outputdir/TuckBack_5_frame_01.png,9,883,850
10,1,outputdir/TuckBack_5_frame_01.png,10,887,904
11,1,outputdir/TuckBack_5_frame_01.png,11,900,800
12,1,outputdir/TuckBack_5_frame_01.png,12,880,850
13,1,outputdir/TuckBack_5_frame_01.png,13,890,908
14,1,outputdir/TuckBack_5_frame_01.png,15,880,709
15,1,outputdir/TuckBack_5_frame_01.png,17,897,716
0,1,outputdir/TuckBack_5_frame_03.png,0,877,749
1,1,outputdir/TuckBack_5_frame_03.png,1,893,786
2,1,outputdir/TuckBack_5_frame_03.png,5,897,786
3,1,outputdir/TuckBack_5_frame_03.png,6,890,827
4,1,outputdir/TuckBack_5_frame_03.png,8,890,850
5,1,outputdir/TuckBack_5_frame_03.png,9,883,884
6,1,outputdir/TuckBack_5_frame_03.png,11,887,850
7,1,outputdir/TuckBack_5_frame_03.png,12,883,881
8,1,outputdir/TuckBack_5_frame_03.png,13,883,904
9,1,outputdir/TuckBack_5_frame_03.png,15,880,746
10,1,outputdir/TuckBack_5_frame_03.png,17,890,759
0,1,outputdir/TuckBack_5_frame_05.png,0,877,753
1,1,outputdir/TuckBack_5_frame_05.png,1,897,786
2,1,outputdir/TuckBack_5_frame_05.png,2,897,783
3,1,outputdir/TuckBack_5_frame_05.png,5,897,786
4,1,outputdir/TuckBack_5_frame_05.png,6,893,813
5,1,outputdir/TuckBack_5_frame_05.png,7,880,840
6,1,outputdir/TuckBack_5_frame_05.png,8,887,840
7,1,outputdir/TuckBack_5_frame_05.png,9,880,884
8,1,outputdir/TuckBack_5_frame_05.png,10,877,911
9,1,outputdir/TuckBack_5_frame_05.png,11,887,844
10,1,outputdir/TuckBack_5_frame_05.png,12,877,881
11,1,outputdir/TuckBack_5_frame_05.png,13,877,908
12,1,outputdir/TuckBack_5_frame_05.png,14,880,746
13,1,outputdir/TuckBack_5_frame_05.png,15,880,749
14,1,outputdir/TuckBack_5_frame_05.png,17,893,763
0,1,outputdir/TuckBack_5_frame_07.png,0,890,692
1,1,outputdir/TuckBack_5_frame_07.png,1,903,719
2,1,outputdir/TuckBack_5_frame_07.png,2,903,716
3,1,outputdir/TuckBack_5_frame_07.png,3,893,668
4,1,outputdir/TuckBack_5_frame_07.png,4,877,648
5,1,outputdir/TuckBack_5_frame_07.png,5,903,719
6,1,outputdir/TuckBack_5_frame_07.png,6,897,746
7,1,outputdir/TuckBack_5_frame_07.png,7,880,783
8,1,outputdir/TuckBack_5_frame_07.png,8,887,790
9,1,outputdir/TuckBack_5_frame_07.png,9,877,850
10,1,outputdir/TuckBack_5_frame_07.png,10,880,908
11,1,outputdir/TuckBack_5_frame_07.png,11,887,790
12,1,outputdir/TuckBack_5_frame_07.png,12,877,854
13,1,outputdir/TuckBack_5_frame_07.png,13,880,911
14,1,outputdir/TuckBack_5_frame_07.png,14,890,682
15,1,outputdir/TuckBack_5_frame_07.png,15,893,688
16,1,outputdir/TuckBack_5_frame_07.png,17,903,695
0,1,outputdir/TuckBack_5_frame_08.png,0,900,648
1,1,outputdir/TuckBack_5_frame_08.png,1,913,685
2,1,outputdir/TuckBack_5_frame_08.png,2,917,685
3,1,outputdir/TuckBack_5_frame_08.png,3,900,716
4,1,outputdir/TuckBack_5_frame_08.png,5,910,685
5,1,outputdir/TuckBack_5_frame_08.png,6,897,716
6,1,outputdir/TuckBack_5_frame_08.png,7,877,742
7,1,outputdir/TuckBack_5_frame_08.png,8,893,749
8,1,outputdir/TuckBack_5_frame_08.png,9,877,810
9,1,outputdir/TuckBack_5_frame_08.png,10,887,864
10,1,outputdir/TuckBack_5_frame_08.png,11,883,749
11,1,outputdir/TuckBack_5_frame_08.png,12,873,810
12,1,outputdir/TuckBack_5_frame_08.png,13,883,871
13,1,outputdir/TuckBack_5_frame_08.png,15,907,648
14,1,outputdir/TuckBack_5_frame_08.png,17,913,662
0,1,outputdir/TuckBack_5_frame_09.png,0,907,618
1,1,outputdir/TuckBack_5_frame_09.png,1,920,645
2,1,outputdir/TuckBack_5_frame_09.png,5,920,648
3,1,outputdir/TuckBack_5_frame_09.png,6,903,682
4,1,outputdir/TuckBack_5_frame_09.png,7,890,712
5,1,outputdir/TuckBack_5_frame_09.png,8,890,712
6,1,outputdir/TuckBack_5_frame_09.png,9,863,766
7,1,outputdir/TuckBack_5_frame_09.png,10,877,824
8,1,outputdir/TuckBack_5_frame_09.png,11,893,712
9,1,outputdir/TuckBack_5_frame_09.png,12,860,766
10,1,outputdir/TuckBack_5_frame_09.png,13,880,834
11,1,outputdir/TuckBack_5_frame_09.png,15,913,618
12,1,outputdir/TuckBack_5_frame_09.png,17,920,624
0,1,outputdir/TuckBack_5_frame_10.png,0,907,594
1,1,outputdir/TuckBack_5_frame_10.png,1,920,618
2,1,outputdir/TuckBack_5_frame_10.png,5,920,621
3,1,outputdir/TuckBack_5_frame_10.png,6,900,662
4,1,outputdir/TuckBack_5_frame_10.png,7,890,688
5,1,outputdir/TuckBack_5_frame_10.png,8,893,682
6,1,outputdir/TuckBack_5_frame_10.png,9,857,722
7,1,outputdir/TuckBack_5_frame_10.png,10,870,780
8,1,outputdir/TuckBack_5_frame_10.png,11,897,685
9,1,outputdir/TuckBack_5_frame_10.png,12,853,722
10,1,outputdir/TuckBack_5_frame_10.png,13,873,786
11,1,outputdir/TuckBack_5_frame_10.png,15,910,591
12,1,outputdir/TuckBack_5_frame_10.png,17,920,597
13,2,outputdir/TuckBack_5_frame_10.png,2,920,618
14,2,outputdir/TuckBack_5_frame_10.png,3,897,580
15,2,outputdir/TuckBack_5_frame_10.png,4,877,554
0,1,outputdir/TuckBack_5_frame_11.png,0,913,570
1,1,outputdir/TuckBack_5_frame_11.png,1,927,587
2,1,outputdir/TuckBack_5_frame_11.png,2,933,587
3,1,outputdir/TuckBack_5_frame_11.png,3,907,564
4,1,outputdir/TuckBack_5_frame_11.png,4,877,530
5,1,outputdir/TuckBack_5_frame_11.png,5,923,587
6,1,outputdir/TuckBack_5_frame_11.png,6,910,594
7,1,outputdir/TuckBack_5_frame_11.png,8,903,648
8,1,outputdir/TuckBack_5_frame_11.png,9,863,682
9,1,outputdir/TuckBack_5_frame_11.png,10,870,739
10,1,outputdir/TuckBack_5_frame_11.png,11,900,648
11,1,outputdir/TuckBack_5_frame_11.png,12,850,678
12,1,outputdir/TuckBack_5_frame_11.png,13,857,763
13,1,outputdir/TuckBack_5_frame_11.png,15,917,564
14,1,outputdir/TuckBack_5_frame_11.png,17,923,570
0,1,outputdir/TuckBack_5_frame_12.png,0,920,537
1,1,outputdir/TuckBack_5_frame_12.png,1,930,557
2,1,outputdir/TuckBack_5_frame_12.png,2,940,560
3,1,outputdir/TuckBack_5_frame_12.png,3,910,557
4,1,outputdir/TuckBack_5_frame_12.png,4,880,526
5,1,outputdir/TuckBack_5_frame_12.png,5,927,557
6,1,outputdir/TuckBack_5_frame_12.png,6,910,557
7,1,outputdir/TuckBack_5_frame_12.png,7,893,530
8,1,outputdir/TuckBack_5_frame_12.png,8,907,614
9,1,outputdir/TuckBack_5_frame_12.png,9,873,628
10,1,outputdir/TuckBack_5_frame_12.png,10,867,658
11,1,outputdir/TuckBack_5_frame_12.png,11,900,614
12,1,outputdir/TuckBack_5_frame_12.png,12,853,628
13,1,outputdir/TuckBack_5_frame_12.png,13,857,672
14,1,outputdir/TuckBack_5_frame_12.png,15,920,533
15,1,outputdir/TuckBack_5_frame_12.png,17,927,537
0,1,outputdir/TuckBack_5_frame_13.png,0,920,510
1,1,outputdir/TuckBack_5_frame_13.png,1,933,533
2,1,outputdir/TuckBack_5_frame_13.png,2,940,533
3,1,outputdir/TuckBack_5_frame_13.png,3,900,533
4,1,outputdir/TuckBack_5_frame_13.png,4,883,520
5,1,outputdir/TuckBack_5_frame_13.png,5,930,537
6,1,outputdir/TuckBack_5_frame_13.png,6,917,547
7,1,outputdir/TuckBack_5_frame_13.png,7,900,523
8,1,outputdir/TuckBack_5_frame_13.png,8,907,594
9,1,outputdir/TuckBack_5_frame_13.png,9,853,577
10,1,outputdir/TuckBack_5_frame_13.png,10,853,638
11,1,outputdir/TuckBack_5_frame_13.png,11,903,594
12,1,outputdir/TuckBack_5_frame_13.png,12,850,580
13,1,outputdir/TuckBack_5_frame_13.png,13,850,641
